month,request_count
2010-02,2
2010-06,1
2010-09,1
2011-05,1
2011-07,1
2012-05,1
2012-07,13466
2012-08,536
2013-07,1
2013-10,2
2014-03,1
2014-04,9
2014-07,2
2014-09,1
2014-11,1
2015-02,2
2015-04,2
2015-05,1
2015-07,8
2015-08,9
2015-09,44
2015-10,9
2015-11,9
2015-12,133
2016-01,86
2016-02,36
2016-03,147
2016-04,159
2016-05,170
2016-06,240
2016-07,226
2016-08,111
2016-09,90
2016-10,153
2016-11,74
2016-12,72
2017-01,151
2017-02,57
2017-03,96
2017-04,45
2017-05,127
2017-06,194
2017-07,139
2017-08,123
2017-09,53
2017-10,68
2017-11,163
2017-12,160
2018-01,182
2018-02,96
2018-03,349
2018-04,285
2018-05,284
2018-06,354
2018-07,350
2018-08,300
2018-09,294
2018-10,167
2018-11,151
2018-12,93
2019-01,145
2019-02,103
2019-03,181
2019-04,329
2019-05,484
2019-06,701
2019-07,1192
2019-08,3034
2019-09,29870
2019-10,687
2019-11,23829
2019-12,1638
2020-01,988
2020-02,7894
2020-03,19971
2020-04,1070
2020-05,21270
2020-06,13585
2020-07,8621
2020-08,326
2020-09,19355
2020-10,316
2020-11,16639
2020-12,3
2021-01,502
2021-02,13086
2021-03,7
2021-04,1901
2021-05,9401
2021-06,30
2021-07,11041
2021-08,9803
2021-09,18
2021-10,2
2021-11,8965
2021-12,425
2022-01,1
2022-02,2758
2022-03,4030
2022-04,2
2022-05,1158
2022-06,6116
2022-07,29
2022-08,4081
2022-09,8
2022-10,219
2022-11,4232
2022-12,1
2023-01,9
2023-02,3801
2023-03,7
2023-04,179
2023-05,5958
2023-06,10
2023-07,5713
2023-08,10
2023-09,4
2023-10,4833
2023-11,26
2023-12,7
2024-01,2077
2024-02,3
2024-03,19
2024-04,3279
2024-05,22
2024-06,1757
2024-07,116
2024-08,298
2024-09,161
2024-10,49
2024-11,255
2024-12,68
2025-01,75
2025-02,3
2025-03,253
2025-04,2
2025-05,210
2025-06,80
2025-07,1
2025-08,43
2025-09,442
2025-11,1
2025-12,1
2026-01,4
2026-02,4
2026-03,85
